const_id,name,right_ascension,declination,lowest_freq,highest_freq,spectral_type,max_mag,bayer_ref,ra_hr,target_id,ra_m
in,ra_sec,dec_sign,dec_deg,dec_min,dec_sec,notes
1,1,ADHIL,11.3723,45.524,1296300000,1429950000,K0-IIIb,5,xi,1,22,20.42,+,45,31,43.50,1234
2,1,ALMAAK,2.0650,42.318,1445348280,0,K3-IIb,2,gam 1,2,3,53.98,+,42,19,46.96,
3,1,ALPHERATZ,0.1398,29.087,0,0,B8IVpMnHg,2,alp,0,8,23.27,+,29,5,25.55,NULL
4,1,ANDROMEDA_NEBULA,0.7120,41.273,0,0,(SNI),6,NULL,0,42,43.06,+,41,16,5.75,NULL
5,1,MIRACH,1.1622,35.618,0,0,M0+IIIa,2,bet,1,9,43.94,+,35,37,13.93,NULL
6,4,ALSHAIN,19.9219,6.402,1420455600,0,G8IV,4,bet,19,55,18.80,+,6,24,24.31,
7,4,ALTAIR,19.8464,8.880,0,0,A7V,1,alp,19,50,47.00,+,8,52,6.07,NULL
8,4,DENEB_EL_OKAB2,18.9937,15.080,0,0,K1-IIICN0.5Ba0.2,4,eps,18,59,37.36,+,15,4,5.76,NULL
9,4,DENEB_EL_OKAB1,19.0902,13.862,0,0,A0Vn,3,zet,19,5,24.61,+,13,51,48.44,NULL
10,4,TARAZED,19.7710,10.617,0,0,K3II,3,gam,19,46,15.59,+,10,36,47.91,NULL
11,5,ALBALI,20.7946,-9.496,1428170000,1429940000,A1V,4,eps,20,47,40.57,-,9,29,44.66,NULL
12,5,ANCHA,22.2806,-7.783,1424900000,0,G8III-IV,4,the,22,16,50.03,-,7,46,59.92,
13,5,SADACHBIA,22.3609,-1.387,1425000000,0,A0V,4,gam,22,21,39.38,-,1,23,14.37,
14,5,SADALMELIK,22.0964,-0.320,0,0,G2Ib,3,alp,22,5,47.03,-,0,19,11.38,NULL
15,5,SADALSUUD,21.5260,-5.571,0,0,G0Ib,3,bet,21,31,33.54,-,5,34,16.27,NULL
16,5,SITULA,22.6293,-4.228,0,0,K2III,5,kap,22,37,45.38,-,4,13,40.88,NULL
17,5,SKAT,22.9108,-15.821,0,0,A3V,3,del,22,54,39.02,-,15,49,14.95,NULL
18,7,BOTEIN,3.1938,19.727,0,0,K2III,4,del,3,11,37.75,+,19,43,36.13,NULL
19,7,HAMAL,2.1196,23.458,0,0,K2-IIICa-1,2,alp,2,7,10.40,+,23,27,44.61,NULL
